Sr. No.,Symbol,Exchange,Section,T4,T3,T2,T1, Max value ,Entry leg 1,Entry Leg 2,Min Lot Size
129,MARICO,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
130,MARUTI,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
131,MCDOWELL-N,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
132,MCX,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
133,METROPOLIS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
134,MFSL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
135,MGL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
136,MOTHERSON,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
137,MPHASIS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
138,MRF,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
139,MUTHOOTFIN,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
140,NATIONALUM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
141,NAUKRI,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
142,NAVINFLUOR,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
143,NESTLEIND,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
144,NMDC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
145,NTPC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
146,OBEROIRLTY,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
147,OFSS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
148,ONGC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
149,PAGEIND,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
150,PEL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
151,PERSISTENT,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
152,PETRONET,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
153,PFC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
154,PIDILITIND,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
155,PIIND,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
156,PNB,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
157,POLYCAB,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
158,POWERGRID,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
159,PVRINOX,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
160,RAMCOCEM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
161,RBLBANK,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
162,RECLTD,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
163,RELIANCE,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
164,SAIL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
165,SBICARD,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
166,SBILIFE,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
167,SBIN,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
168,SHREECEM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
169,SHRIRAMFIN,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
170,SIEMENS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
171,SRF,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
172,SUNPHARMA,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
173,SUNTV,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
174,SYNGENE,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
175,TATACHEM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
176,TATACOMM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
177,TATACONSUM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
178,TATAMOTORS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
179,TATAPOWER,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
180,TATASTEEL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
181,TCS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
182,TECHM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
183,TITAN,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
184,TORNTPHARM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
185,TRENT,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
186,TVSMOTOR,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
187,UBL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
188,ULTRACEMCO,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
189,UPL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
190,VEDL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
191,VOLTAS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
192,WIPRO,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
193,ZEEL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
194,ZYDUSLIFE,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
195,360ONE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
196,3IINFOLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
197,3MINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
198,5PAISA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
199,63MOONS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
200,AARTIDRUGS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
201,AARTIPHARM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
202,AARTISURF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
203,AAVAS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
204,ABAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
205,ABSLAMC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
206,ACCELYA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
207,ACE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
208,ACI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
209,ADANIENSOL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
210,ADANIGREEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
211,ADANIPOWER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
212,ADFFOODS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
213,ADORWELD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
214,ADROITINFO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
215,ADSL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
216,ADVENZYMES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
217,AEGISCHEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
218,AEROFLEX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
219,AETHER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
220,AFFLE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
221,AGARIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
222,AGI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
223,AGSTRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
224,AHL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
225,AHLUCONT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
226,AIAENG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
227,AIRAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
228,AJANTPHARM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
229,AJMERA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
230,AJOONI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
231,AKSHARCHEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
232,AKSHOPTFBR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
233,AKZOINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
234,ALANKIT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
235,ALBERTDAVD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
236,ALEMBICLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
237,ALICON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
238,ALKYLAMINE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
239,ALLCARGO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
240,ALLSEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
241,ALOKINDS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
242,ALPA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
243,ALPHAGEO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
244,AMARAJABAT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
245,AMBER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
246,AMBIKCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
247,AMIORG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
248,AMJLAND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
249,AMRUTANJAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
250,ANANDRATHI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
251,ANANTRAJ,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
252,ANDHRAPAP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
253,ANDHRSUGAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
254,ANDREWYU,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
